iter	Passed	Remaining
428	1570	2090
429	1574	2086
430	1577	2082
431	1580	2078
432	1584	2074
433	1587	2070
434	1590	2065
435	1593	2060
436	1595	2056
437	1598	2051
438	1602	2047
439	1605	2043
440	1608	2038
441	1610	2033
442	1613	2028
443	1616	2024
444	1619	2019
445	1622	2015
446	1625	2010
447	1627	2005
448	1631	2001
449	1633	1996
450	1636	1992
451	1639	1987
452	1642	1982
453	1645	1978
454	1647	1973
455	1650	1969
456	1653	1964
457	1656	1960
458	1659	1956
459	1662	1951
460	1665	1947
461	1667	1942
462	1670	1937
463	1673	1933
464	1677	1929
465	1679	1925
466	1682	1920
467	1685	1916
468	1688	1911
469	1691	1907
470	1693	1902
471	1696	1897
472	1699	1893
473	1706	1893
474	1743	1926
475	1747	1923
476	1750	1919
477	1754	1916
478	1758	1912
479	1762	1909
480	1767	1907
481	1771	1903
482	1775	1900
483	1779	1896
484	1782	1893
485	1786	1889
486	1790	1886
487	1794	1882
488	1798	1879
489	1807	1880
490	1810	1877
491	1814	1873
492	1828	1880
493	1832	1876
494	1839	1876
495	1843	1872
496	1846	1868
497	1850	1865
498	1854	1861
499	1857	1857
500	1861	1854
501	1868	1853
502	1872	1850
503	1879	1849
504	1883	1845
505	1886	1842
506	1890	1838
507	1895	1836
508	1899	1832
509	1911	1836
510	1930	1847
511	1934	1843
512	1938	1840
513	1943	1837
514	1947	1834
515	1951	1830
516	1970	1840
517	1973	1836
518	1976	1831
519	1979	1827
520	1982	1822
521	1985	1818
522	1988	1813
523	1992	1809
524	1995	1805
525	2002	1804
526	2008	1802
527	2012	1798
528	2016	1795
529	2020	1791
530	2024	1788
531	2028	1784
532	2032	1780
533	2037	1777
534	2041	1774
535	2045	1770
536	2048	1766
537	2054	1764
538	2058	1760
539	2061	1756
540	2064	1751
541	2068	1747
542	2071	1743
543	2074	1738
544	2077	1734
545	2080	1729
546	2082	1725
547	2085	1720
548	2088	1715
549	2091	1711
550	2094	1706
551	2097	1702
552	2100	1697
553	2102	1692
554	2105	1688
555	2108	1683
556	2112	1680
557	2115	1675
558	2118	1671
559	2120	1666
560	2123	1661
561	2126	1657
562	2129	1652
563	2131	1647
564	2134	1643
565	2136	1638
566	2139	1634
567	2142	1629
568	2145	1624
569	2147	1620
570	2150	1615
571	2153	1611
572	2156	1606
573	2158	1602
574	2161	1597
575	2164	1593
576	2167	1588
577	2170	1584
578	2172	1579
579	2175	1575
580	2178	1570
581	2180	1566
582	2183	1562
583	2187	1558
584	2190	1553
585	2194	1550
586	2197	1546
587	2200	1541
588	2203	1537
589	2205	1532
590	2208	1528
591	2211	1524
592	2214	1519
593	2216	1515
594	2219	1510
595	2222	1506
596	2225	1502
597	2228	1497
598	2230	1493
599	2233	1489
600	2236	1484
601	2238	1480
602	2241	1475
603	2244	1471
604	2247	1467
